"fixloc" "fixdur" "fixnr" "id"
2 697 2 "11_83"
1 229 1 "11_84"
2 597 2 "11_84"
1 338 1 "11_86"
2 250 2 "11_86"
1 279 1 "11_87"
2 483 2 "11_87"
1 278 1 "11_88"
2 239 2 "11_88"
2 303 1 "11_89"
1 836 2 "11_89"
1 205 1 "11_90"
2 518 2 "11_90"
1 261 1 "11_91"
2 420 2 "11_91"
1 201 3 "11_91"
2 320 4 "11_91"
1 80 5 "11_91"
1 200 1 "11_92"
2 259 2 "11_92"
2 638 1 "11_93"
1 100 2 "11_93"
2 219 1 "11_94"
1 360 2 "11_94"
2 480 1 "11_95"
1 220 2 "11_95"
2 197 3 "11_95"
2 259 1 "11_96"
1 622 2 "11_96"
2 279 3 "11_96"
2 500 1 "11_97"
1 60 2 "11_97"
1 296 1 "11_98"
2 80 2 "11_98"
1 197 1 "11_99"
2 320 2 "11_99"
1 20 3 "11_99"
1 516 1 "11_100"
2 776 2 "11_100"
1 1036 1 "13_1"
2 757 2 "13_1"
1 997 3 "13_1"
2 757 4 "13_1"
1 1176 1 "13_2"
2 697 2 "13_2"
1 738 3 "13_2"
1 1612 1 "13_3"
2 1634 2 "13_3"
1 1396 3 "13_3"
2 518 4 "13_3"
1 998 5 "13_3"
1 857 1 "13_4"
2 677 2 "13_4"
1 379 3 "13_4"
1 597 1 "13_5"
2 3448 2 "13_5"
1 2312 3 "13_5"
2 876 4 "13_5"
1 1056 5 "13_5"
2 1116 6 "13_5"
1 1575 7 "13_5"
2 160 8 "13_5"
1 597 1 "13_6"
2 2571 2 "13_6"
1 1016 3 "13_6"
1 664 1 "13_7"
2 2065 2 "13_7"
1 1555 3 "13_7"
2 1077 4 "13_7"
1 458 5 "13_7"
2 2213 6 "13_7"
1 3368 1 "13_8"
2 699 2 "13_8"
1 716 1 "13_9"
2 857 2 "13_9"
1 518 3 "13_9"
2 1095 4 "13_9"
1 338 1 "13_10"
2 1475 2 "13_10"
1 717 1 "13_11"
2 1395 2 "13_11"
1 995 1 "13_12"
2 3867 2 "13_12"
1 1076 3 "13_12"
2 3190 4 "13_12"
1 140 5 "13_12"
1 1253 1 "13_13"
2 659 2 "13_13"
1 3264 1 "13_14"
2 901 2 "13_14"
1 793 3 "13_14"
1 996 1 "13_15"
2 2730 2 "13_15"
1 279 3 "13_15"
1 2651 1 "13_16"
2 1515 2 "13_16"
1 658 1 "13_17"
2 837 2 "13_17"
1 1355 1 "13_18"
2 2910 2 "13_18"
1 1320 3 "13_18"
2 1870 4 "13_18"
1 1215 5 "13_18"
2 159 6 "13_18"
1 997 1 "13_19"
2 1216 2 "13_19"
1 712 1 "13_20"
2 2352 2 "13_20"
1 4065 1 "13_21"
2 1476 2 "13_21"
1 1536 3 "13_21"
1 756 1 "13_22"
2 817 2 "13_22"
1 1076 3 "13_22"
2 459 4 "13_22"
1 597 1 "13_23"
2 1236 2 "13_23"
1 1573 3 "13_23"
2 1295 4 "13_23"
1 1654 5 "13_23"
2 1216 6 "13_23"
1 782 7 "13_23"
2 1311 8 "13_23"
1 1555 1 "13_24"
2 2850 2 "13_24"
1 557 1 "13_25"
2 2432 2 "13_25"
1 737 3 "13_25"
2 299 4 "13_25"
1 898 5 "13_25"
1 1276 1 "13_26"
2 1595 2 "13_26"
1 199 1 "13_27"
2 617 2 "13_27"
1 1894 3 "13_27"
1 2869 1 "13_28"
2 1555 2 "13_28"
1 1495 3 "13_28"
2 2212 4 "13_28"
1 736 1 "13_29"
2 1237 2 "13_29"
1 578 3 "13_29"
1 1793 1 "13_30"
2 6259 2 "13_30"
1 566 1 "13_31"
2 1287 2 "13_31"
1 1436 3 "13_31"
2 957 4 "13_31"
1 300 5 "13_31"
1 956 1 "13_32"
2 1036 2 "13_32"
1 1475 3 "13_32"
2 1496 4 "13_32"
1 679 1 "13_33"
2 2072 2 "13_33"
1 19 3 "13_33"
2 1695 4 "13_33"
1 3429 5 "13_33"
2 877 6 "13_33"
1 977 7 "13_33"
2 4824 8 "13_33"
1 735 1 "13_34"
2 1335 2 "13_34"
1 2851 3 "13_34"
1 1235 1 "13_35"
2 1678 2 "13_35"
1 1977 3 "13_35"
2 754 4 "13_35"
1 119 5 "13_35"
2 2293 6 "13_35"
1 2073 7 "13_35"
2 321 8 "13_35"
1 2888 1 "13_36"
2 667 2 "13_36"
1 967 3 "13_36"
1 1455 1 "13_37"
2 1101 2 "13_37"
1 175 3 "13_37"
2 615 4 "13_37"
1 2315 5 "13_37"
2 756 6 "13_37"
1 339 7 "13_37"
1 2551 1 "13_38"
2 1076 2 "13_38"
1 1595 3 "13_38"
2 553 4 "13_38"
1 1375 5 "13_38"
2 1415 6 "13_38"
1 738 7 "13_38"
1 977 1 "13_39"
2 1057 2 "13_39"
1 597 3 "13_39"
2 1513 4 "13_39"
1 637 5 "13_39"
2 20 6 "13_39"
1 657 1 "13_40"
2 937 2 "13_40"
1 79 3 "13_40"
2 100 4 "13_40"
1 899 5 "13_40"
1 796 1 "13_41"
2 1216 2 "13_41"
1 1156 1 "13_42"
2 938 2 "13_42"
1 439 3 "13_42"
2 1456 4 "13_42"
1 379 5 "13_42"
1 809 1 "13_43"
2 957 2 "13_43"
1 1758 3 "13_43"
2 1735 4 "13_43"
1 1734 1 "13_44"
2 577 2 "13_44"
1 519 3 "13_44"
1 1036 1 "13_45"
2 637 2 "13_45"
1 698 3 "13_45"
2 957 4 "13_45"
1 520 1 "13_46"
2 697 2 "13_46"
1 1595 3 "13_46"
2 698 4 "13_46"
1 738 5 "13_46"
1 498 1 "13_47"
2 7717 2 "13_47"
1 677 3 "13_47"
1 598 1 "13_48"
2 808 2 "13_48"
1 597 1 "13_49"
2 737 2 "13_49"
1 558 3 "13_49"
2 1055 4 "13_49"
1 958 5 "13_49"
1 2372 1 "13_50"
2 4681 2 "13_50"
1 1585 3 "13_50"
2 539 4 "13_50"
1 957 5 "13_50"
1 398 1 "13_51"
2 794 2 "13_51"
1 1136 3 "13_51"
2 836 4 "13_51"
1 1515 5 "13_51"
2 559 6 "13_51"
1 440 1 "13_52"
2 698 2 "13_52"
1 199 3 "13_52"
2 578 1 "13_53"
1 657 2 "13_53"
2 996 3 "13_53"
1 600 1 "13_54"
2 1255 2 "13_54"
1 458 1 "13_55"
2 598 2 "13_55"
1 876 3 "13_55"
1 858 1 "13_56"
2 1197 2 "13_56"
1 836 3 "13_56"
2 338 4 "13_56"
1 1196 5 "13_56"
2 720 6 "13_56"
1 539 1 "13_57"
2 874 2 "13_57"
1 6121 3 "13_57"
2 1814 4 "13_57"
1 1555 5 "13_57"
1 634 1 "13_58"
2 558 2 "13_58"
1 499 3 "13_58"
1 657 1 "13_59"
2 1038 2 "13_59"
1 220 3 "13_59"
1 518 1 "13_60"
2 1155 2 "13_60"
1 2372 1 "13_61"
2 5202 2 "13_61"
1 1137 3 "13_61"
1 537 1 "13_62"
2 140 2 "13_62"
1 518 1 "13_63"
2 877 2 "13_63"
1 877 3 "13_63"
2 788 4 "13_63"
1 1335 5 "13_63"
2 1076 6 "13_63"
1 917 7 "13_63"
1 555 1 "13_64"
2 1290 2 "13_64"
1 500 1 "13_65"
2 1139 2 "13_65"
1 318 3 "13_65"
2 2113 4 "13_65"
1 1676 5 "13_65"
2 1495 6 "13_65"
1 299 7 "13_65"
1 857 1 "13_66"
2 839 2 "13_66"
1 6717 1 "13_67"
2 1038 2 "13_67"
1 1196 3 "13_67"
2 478 4 "13_67"
2 677 1 "13_68"
1 1495 2 "13_68"
1 400 1 "13_69"
2 678 2 "13_69"
1 520 1 "13_70"
2 837 2 "13_70"
1 1140 1 "13_71"
2 518 2 "13_71"
2 518 1 "13_72"
1 1275 2 "13_72"
1 619 1 "13_73"
2 682 2 "13_73"
1 1135 1 "13_74"
2 758 2 "13_74"
1 518 1 "13_75"
2 658 2 "13_75"
1 1039 3 "13_75"
1 936 1 "13_76"
2 2073 2 "13_76"
1 360 3 "13_76"
1 698 1 "13_77"
2 1654 2 "13_77"
1 1036 3 "13_77"
1 560 1 "13_78"
2 677 2 "13_78"
1 1516 3 "13_78"
2 837 4 "13_78"
1 637 1 "13_79"
2 777 2 "13_79"
1 423 1 "13_80"
2 359 2 "13_80"
1 997 1 "13_81"
2 998 2 "13_81"
1 2807 1 "13_82"
2 1394 2 "13_82"
1 579 3 "13_82"
1 521 1 "13_83"
2 555 2 "13_83"
1 61 3 "13_83"
1 1835 1 "13_84"
2 574 2 "13_84"
1 423 3 "13_84"
2 143 4 "13_84"
1 1156 5 "13_84"
2 3169 6 "13_84"
1 838 7 "13_84"
2 61 8 "13_84"
1 737 1 "13_85"
2 1178 2 "13_85"
1 817 1 "13_86"
2 977 2 "13_86"
1 836 1 "13_87"
2 777 2 "13_87"
1 1036 3 "13_87"
2 658 4 "13_87"
1 519 1 "13_88"
2 1017 2 "13_88"
1 558 1 "13_89"
2 3688 2 "13_89"
1 1357 3 "13_89"
2 936 4 "13_89"
1 378 5 "13_89"
1 1753 1 "13_90"
2 877 2 "13_90"
1 459 1 "13_91"
2 1017 2 "13_91"
1 398 1 "13_92"
2 717 2 "13_92"
1 837 3 "13_92"
1 618 1 "13_93"
2 1177 2 "13_93"
1 517 1 "13_94"
2 458 2 "13_94"
1 459 3 "13_94"
1 537 1 "13_95"
2 876 2 "13_95"
1 438 1 "13_96"
2 838 2 "13_96"
1 478 1 "13_97"
2 1238 2 "13_97"
1 361 3 "13_97"
1 399 1 "13_98"
2 677 2 "13_98"
1 1833 3 "13_98"
2 1636 4 "13_98"
1 478 5 "13_98"
1 836 1 "13_99"
2 419 2 "13_99"
1 541 3 "13_99"
1 837 1 "13_100"
2 935 2 "13_100"
2 399 1 "14_1"
1 737 2 "14_1"
2 1634 1 "14_2"
2 1042 1 "14_3"
1 557 1 "14_4"
2 580 1 "14_5"
1 479 2 "14_5"
2 339 1 "14_6"
1 101 2 "14_6"
2 180 1 "14_7"
1 19 2 "14_7"
2 938 3 "14_7"
2 2474 1 "14_8"
2 1513 1 "14_9"
2 639 1 "14_10"
1 1530 2 "14_10"
2 1434 3 "14_10"
1 459 1 "14_11"
2 837 2 "14_11"
1 219 1 "14_13"
2 1116 2 "14_13"
2 877 1 "14_14"
2 119 1 "14_15"
1 353 2 "14_15"
2 519 1 "14_16"
1 220 2 "14_16"
2 300 3 "14_16"
2 977 1 "14_17"
2 714 1 "14_18"
1 339 2 "14_18"
2 148 3 "14_18"
2 336 1 "14_19"
1 122 2 "14_19"
2 239 1 "14_20"
1 1156 2 "14_20"
2 420 3 "14_20"
2 1015 1 "14_21"
1 677 2 "14_21"
2 638 1 "14_22"
1 1116 2 "14_22"
2 159 3 "14_22"
2 359 1 "14_23"
1 657 2 "14_23"
2 398 1 "14_24"
1 418 2 "14_24"
2 1696 1 "14_25"
2 498 1 "14_26"
1 559 2 "14_26"
2 259 3 "14_26"
2 719 1 "14_27"
1 100 2 "14_27"
2 518 3 "14_27"
2 1555 1 "14_28"
2 598 1 "14_29"
1 658 2 "14_29"
2 219 1 "14_30"
1 418 2 "14_30"
2 1574 1 "14_31"
2 558 1 "14_32"
1 199 2 "14_32"
2 518 1 "14_33"
1 458 2 "14_33"
2 677 3 "14_33"
2 1575 1 "14_34"
1 20 1 "14_35"
2 1735 2 "14_35"
2 737 1 "14_36"
1 1036 2 "14_36"
2 518 1 "14_37"
1 39 2 "14_37"
2 839 3 "14_37"
2 657 1 "14_38"
1 698 2 "14_38"
1 199 1 "14_39"
2 618 2 "14_39"
1 200 3 "14_39"
2 1774 1 "14_40"
2 617 1 "14_41"
2 459 1 "14_42"
1 299 2 "14_42"
2 199 1 "14_43"
1 340 2 "14_43"
1 102 1 "14_44"
2 439 2 "14_44"
2 778 1 "14_45"
1 40 1 "14_46"
2 538 2 "14_46"
1 59 1 "14_47"
2 937 2 "14_47"
1 198 3 "14_47"
2 636 1 "14_48"
2 1853 1 "14_49"
1 698 1 "14_50"
2 738 1 "14_51"
2 318 1 "14_52"
1 616 2 "14_52"
2 976 3 "14_52"
2 219 1 "14_53"
1 20 2 "14_53"
2 1058 3 "14_53"
2 1854 1 "14_54"
2 354 1 "14_55"
2 835 1 "14_58"
2 579 1 "14_59"
2 636 1 "14_61"
2 1198 1 "14_62"
2 1295 1 "14_63"
1 99 1 "14_64"
2 1076 2 "14_64"
2 659 1 "14_65"
2 1176 1 "14_66"
2 516 1 "14_67"
2 1432 1 "14_68"
2 1177 1 "14_69"
2 1294 1 "14_70"
2 1235 1 "14_71"
2 419 1 "14_72"
2 119 1 "14_73"
1 734 2 "14_73"
2 280 1 "14_74"
2 936 1 "14_75"
2 995 1 "14_76"
2 899 1 "14_77"
2 477 1 "14_82"
1 235 2 "14_82"
2 896 1 "14_83"
2 207 1 "14_84"
1 733 2 "14_84"
2 418 1 "14_85"
1 1291 2 "14_85"
2 518 1 "14_87"
2 1233 1 "14_88"
2 1735 1 "14_90"
1 638 1 "14_91"
2 1177 1 "14_92"
2 198 1 "14_93"
2 1754 1 "14_94"
2 1796 1 "14_96"
2 557 1 "14_98"
2 236 1 "14_99"
1 24 2 "14_99"
2 243 3 "14_99"
2 1455 1 "14_100"
1 275 1 "16_1"
2 660 2 "16_1"
1 219 1 "16_2"
2 519 2 "16_2"
1 239 1 "16_3"
2 359 2 "16_3"
1 280 3 "16_3"
1 152 1 "16_4"
2 538 2 "16_4"
1 737 3 "16_4"
1 232 1 "16_5"
2 877 2 "16_5"
1 1037 3 "16_5"
1 199 1 "16_6"
2 638 2 "16_6"
1 1295 3 "16_6"
2 399 4 "16_6"
2 99 1 "16_7"
1 299 2 "16_7"
2 797 3 "16_7"
1 133 1 "16_8"
2 617 2 "16_8"
1 1276 3 "16_8"
2 20 4 "16_8"
2 63 1 "16_9"
1 239 2 "16_9"
2 757 3 "16_9"
1 60 4 "16_9"
1 151 1 "16_10"
2 521 2 "16_10"
1 1334 3 "16_10"
2 1317 4 "16_10"
1 279 1 "16_11"
2 658 2 "16_11"
1 538 3 "16_11"
1 419 1 "16_12"
2 480 2 "16_12"
2 119 1 "16_13"
1 458 2 "16_13"
2 281 3 "16_13"
2 15 1 "16_14"
1 319 2 "16_14"
2 199 3 "16_14"
2 160 1 "16_15"
1 538 2 "16_15"
2 239 3 "16_15"
