"id" "v1" "v2" "decision" "rt"
"20_80" 0 3 1 898
"20_81" 2 3 1 1834
"20_82" 5 3 2 1395
"20_83" 2 0 2 818
"20_84" 0 3 1 658
"20_85" 8 9 2 638
"20_86" 4 2 2 758
"20_87" 3 5 1 658
"20_88" 3 4 1 579
"20_89" 1 2 2 1061
"20_90" 3 2 1 976
"20_91" 3 6 2 738
"20_92" 6 5 2 1256
"20_93" 6 2 2 479
"20_94" 5 4 2 1054
"20_95" 3 4 1 677
"20_96" 0 5 1 578
"20_97" 4 5 1 576
"20_98" 6 9 2 561
"20_99" 1 2 1 856
"20_100" 1 5 1 538
"22_1" 6 2 1 2510
"22_2" 3 0 2 1433
"22_3" 9 7 2 1876
"22_4" 4 3 1 3768
"22_5" 3 5 1 1993
"22_6" 3 5 2 3411
"22_7" 8 5 2 1319
"22_8" 7 6 1 3148
"22_9" 7 8 1 1614
"22_10" 6 8 1 1315
"22_11" 3 7 1 1572
"22_12" 3 7 1 2590
"22_13" 7 4 1 3440
"22_14" 4 8 1 2052
"22_15" 4 7 1 1752
"22_16" 7 3 2 1056
"22_17" 7 10 1 700
"22_18" 7 7 2 1816
"22_19" 6 8 1 1037
"22_20" 6 8 1 3246
"22_21" 6 3 2 1315
"22_22" 3 8 1 1277
"22_23" 7 7 1 3468
"22_24" 4 8 1 1352
"22_25" 8 4 2 1255
"22_26" 4 4 1 1611
"22_27" 4 8 1 976
"22_28" 7 9 1 1078
"22_29" 7 4 2 959
"22_30" 7 7 2 1811
"22_31" 8 3 2 776
"22_32" 7 5 1 3406
"22_33" 6 6 2 1415
"22_34" 1 2 1 2254
"22_35" 3 3 1 1060
"22_36" 4 7 1 933
"22_37" 0 3 1 1399
"22_38" 3 6 1 857
"22_39" 4 8 1 899
"22_40" 7 5 2 1040
"22_41" 3 5 1 2830
"22_42" 8 4 2 1556
"22_43" 7 10 1 535
"22_44" 1 6 1 1093
"22_45" 7 4 2 1096
"22_46" 2 7 1 1016
"22_47" 3 6 1 2249
"22_48" 6 4 2 1377
"22_49" 1 1 1 3468
"22_50" 10 6 2 920
"22_51" 4 8 1 618
"22_52" 4 3 2 1654
"22_53" 3 7 1 816
"22_54" 7 4 2 1077
"22_55" 4 5 1 2889
"22_56" 7 5 2 1727
"22_57" 4 3 1 1732
"22_58" 6 10 1 298
"22_59" 5 3 2 2531
"22_60" 7 5 1 2605
"22_61" 7 3 2 1632
"22_62" 7 8 1 915
"22_63" 0 3 1 1236
"22_64" 3 0 2 1097
"22_65" 7 3 2 2132
"22_66" 6 6 1 1912
"22_67" 4 4 1 3241
"22_68" 4 6 2 4444
"22_69" 6 8 1 971
